2025-12-12 19:53:48 - llm-service - INFO - [logger.py:113] - Logger 'llm-service' initialized
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:114] - Console logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:115] - File logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:116] - Log file: /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/logs/llm-service.log
2025-12-12 19:53:48 - llm-service - INFO - [config.py:214] - Loading Kokoro voices
2025-12-12 19:54:23 - llm-service - INFO - [service.py:505] - Starting server on http://0.0.0.0:9000
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_041 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_041.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_010 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_010.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_096 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_096.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_065 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_065.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_034 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_034.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_006 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_006.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_032 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_032.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_090 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_090.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_040 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_040.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_074 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_074.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_087 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_087.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_081 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_081.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_062 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_062.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_033 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_033.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_091 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_091.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_056 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_056.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_001 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_001.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_070 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_070.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_021 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_021.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_083 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_083.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_044 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_044.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_013 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_013.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_052 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_052.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_037 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_037.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_066 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_066.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_095 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_095.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_005 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_005.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_093 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_093.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_060 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_060.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_071 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_071.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_012 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_012.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_053 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_053.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_004 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_004.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_092 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_092.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_024 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_024.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_075 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_075.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_086 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_086.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_016 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_016.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_080 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_080.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_063 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_063.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_057 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_057.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_051 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_051.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_029 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_029.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_068 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_068.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_099 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_099.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_058 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_058.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_009 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_009.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_088 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_088.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_069 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_069.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:73] - Kokoro TTS pipeline voices loaded successfully
2025-12-12 19:57:20 - llm-service - INFO - [tts.py:204] - Kokoro TTS model loaded successfully
2025-12-12 19:57:20 - llm-service - INFO - [tts.py:198] - Loading Kokoro TTS model...
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:53] - Loading Kokoro TTS model from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/kokoro-v1_1-zh.pth config from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/config.json
2025-12-12 19:57:21 - llm-service - INFO - [kokoro_tts.py:56] - Kokoro TTS model loaded successfully
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:59] - Kokoro TTS pipeline loaded successfully
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice default from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_echo.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice ash from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_michael.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice coral from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_aoede.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice fable from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_eric.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_onyx.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_jessica.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice shimmer from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/bf_alice.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice sage from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/bf_lily.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_heart from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_heart.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_alloy.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_aoede from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_aoede.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_bella from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_bella.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_jessica from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_jessica.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_kore from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_kore.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_nicole from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_nicole.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_nova.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_river from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_river.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_sarah from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_sarah.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_sky from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_sky.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_adam from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_adam.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_echo.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_eric from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_eric.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_fenrir from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_fenrir.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_liam from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_michael from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_michael.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_onyx.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_puck from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_puck.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_santa from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_santa.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice default from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_081.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_052.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_011.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice ash from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_081.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice coral from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_017.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice fable from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_031.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_041.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_061.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice shimmer from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_027.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice sage from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_083.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaobei from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaobei.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoni from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoni.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoxiao from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoxiao.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoyi from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoyi.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunjian from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunjian.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunxi from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunxi.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunxia from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunxia.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunyang from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunyang.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_078 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_078.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_039 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_039.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_089 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_089.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_019 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_019.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_048 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_048.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_018 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_018.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_049 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_049.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_059 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_059.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_008 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_008.pt
2025-12-12 19:57:23 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_098 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_098.pt
